,Unnamed: 0,image_id,location,filename,datetime,frame_num,seq_id,category_id,category_name,datetime_obj,date,uid
1264,131658,974fc80e-21bc-11ea-a13a-137349068a90,123,974fc80e-21bc-11ea-a13a-137349068a90.jpg,2014-06-15 13:25:05.000,12,30009c18-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-06-15 13:25:05,2014-06-15,test1_0
2645,53663,9170f732-21bc-11ea-a13a-137349068a90,167,9170f732-21bc-11ea-a13a-137349068a90.jpg,2013-08-03 11:59:04.000,3,9170f91c-21bc-11ea-a13a-137349068a90,315,francolinus nobilis,2013-08-03 11:59:04,2013-08-03,test1_1
396,43646,90716358-21bc-11ea-a13a-137349068a90,123,90716358-21bc-11ea-a13a-137349068a90.jpg,2013-07-25 13:25:03.000,18,2fff3b70-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2013-07-25 13:25:03,2013-07-25,test1_2
3553,116464,98e4cb06-21bc-11ea-a13a-137349068a90,110,98e4cb06-21bc-11ea-a13a-137349068a90.jpg,2013-08-21 06:24:04.000,88,302ae892-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2013-08-21 06:24:04,2013-08-21,test1_3
4274,175720,8be90c00-21bc-11ea-a13a-137349068a90,110,8be90c00-21bc-11ea-a13a-137349068a90.jpg,2013-08-04 18:15:04.000,28,302b91fc-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2013-08-04 18:15:04,2013-08-04,test1_4
1114,119476,937eafe2-21bc-11ea-a13a-137349068a90,385,937eafe2-21bc-11ea-a13a-137349068a90.jpg,2013-10-01 18:53:02.000,44,30025972-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2013-10-01 18:53:02,2013-10-01,test1_5
1752,186909,8ecf19aa-21bc-11ea-a13a-137349068a90,144,8ecf19aa-21bc-11ea-a13a-137349068a90.jpg,2014-08-20 04:54:04.000,3,96239a8c-21bc-11ea-a13a-137349068a90,321,funisciurus carruthersi,2014-08-20 04:54:04,2014-08-20,test1_6
1479,150793,87fd252c-21bc-11ea-a13a-137349068a90,123,87fd252c-21bc-11ea-a13a-137349068a90.jpg,2014-06-08 12:37:02.000,8,302da6f4-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-06-08 12:37:02,2014-06-08,test1_7
3472,112383,9890de60-21bc-11ea-a13a-137349068a90,167,9890de60-21bc-11ea-a13a-137349068a90.jpg,2014-07-06 08:28:01.000,3,98946f6c-21bc-11ea-a13a-137349068a90,317,cephalophus nigrifrons,2014-07-06 08:28:01,2014-07-06,test1_8
151,15946,8de91806-21bc-11ea-a13a-137349068a90,385,8de91806-21bc-11ea-a13a-137349068a90.jpg,2014-07-28 17:10:04.000,4,30250ce2-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-07-28 17:10:04,2014-07-28,test1_9
