,image_id,location,filename,datetime,frame_num,seq_id,category_id,category_name,datetime_obj,date
7977,8b925856-21bc-11ea-a13a-137349068a90,516,8b925856-21bc-11ea-a13a-137349068a90.jpg,2013-10-07 07:34:02.000,1,994fba88-21bc-11ea-a13a-137349068a90,316,cercopithecus lhoesti,2013-10-07 07:34:02,2013-10-07
7978,960900e6-21bc-11ea-a13a-137349068a90,516,960900e6-21bc-11ea-a13a-137349068a90.jpg,2013-10-07 07:34:02.000,2,994fba88-21bc-11ea-a13a-137349068a90,316,cercopithecus lhoesti,2013-10-07 07:34:02,2013-10-07
7979,8e0edf32-21bc-11ea-a13a-137349068a90,516,8e0edf32-21bc-11ea-a13a-137349068a90.jpg,2013-10-07 07:34:02.000,3,994fba88-21bc-11ea-a13a-137349068a90,316,cercopithecus lhoesti,2013-10-07 07:34:02,2013-10-07
7980,97a62294-21bc-11ea-a13a-137349068a90,516,97a62294-21bc-11ea-a13a-137349068a90.jpg,2013-10-07 07:34:02.000,4,994fba88-21bc-11ea-a13a-137349068a90,316,cercopithecus lhoesti,2013-10-07 07:34:02,2013-10-07
7981,8df156b0-21bc-11ea-a13a-137349068a90,516,8df156b0-21bc-11ea-a13a-137349068a90.jpg,2013-10-07 07:34:02.000,5,994fba88-21bc-11ea-a13a-137349068a90,316,cercopithecus lhoesti,2013-10-07 07:34:02,2013-10-07
7982,994fb8d0-21bc-11ea-a13a-137349068a90,516,994fb8d0-21bc-11ea-a13a-137349068a90.jpg,2013-10-07 07:34:02.000,6,994fba88-21bc-11ea-a13a-137349068a90,316,cercopithecus lhoesti,2013-10-07 07:34:02,2013-10-07
9824,8b09ea5c-21bc-11ea-a13a-137349068a90,312,8b09ea5c-21bc-11ea-a13a-137349068a90.jpg,2014-07-02 11:32:03.000,1,9542f95a-21bc-11ea-a13a-137349068a90,317,cephalophus nigrifrons,2014-07-02 11:32:03,2014-07-02
9825,9542f766-21bc-11ea-a13a-137349068a90,312,9542f766-21bc-11ea-a13a-137349068a90.jpg,2014-07-02 11:32:03.000,2,9542f95a-21bc-11ea-a13a-137349068a90,317,cephalophus nigrifrons,2014-07-02 11:32:03,2014-07-02
9826,86d53e3c-21bc-11ea-a13a-137349068a90,312,86d53e3c-21bc-11ea-a13a-137349068a90.jpg,2014-07-02 11:32:03.000,3,9542f95a-21bc-11ea-a13a-137349068a90,317,cephalophus nigrifrons,2014-07-02 11:32:03,2014-07-02
11769,8f7d9804-21bc-11ea-a13a-137349068a90,71,8f7d9804-21bc-11ea-a13a-137349068a90.jpg,2014-08-29 12:17:01.000,21,302d08c0-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-29 12:17:01,2014-08-29
11770,8ed368ca-21bc-11ea-a13a-137349068a90,71,8ed368ca-21bc-11ea-a13a-137349068a90.jpg,2014-08-29 12:17:01.000,22,302d08c0-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-29 12:17:01,2014-08-29
11771,8905efee-21bc-11ea-a13a-137349068a90,71,8905efee-21bc-11ea-a13a-137349068a90.jpg,2014-08-29 12:17:02.000,23,302d08c0-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-29 12:17:02,2014-08-29
11772,8bc44dac-21bc-11ea-a13a-137349068a90,71,8bc44dac-21bc-11ea-a13a-137349068a90.jpg,2014-08-29 12:17:02.000,24,302d08c0-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-29 12:17:02,2014-08-29
14064,94bfd39a-21bc-11ea-a13a-137349068a90,333,94bfd39a-21bc-11ea-a13a-137349068a90.jpg,2014-07-28 21:23:02.000,1,96dc5b4e-21bc-11ea-a13a-137349068a90,91,cricetomys gambianus,2014-07-28 21:23:02,2014-07-28
14065,95f0ef10-21bc-11ea-a13a-137349068a90,333,95f0ef10-21bc-11ea-a13a-137349068a90.jpg,2014-07-28 21:23:02.000,2,96dc5b4e-21bc-11ea-a13a-137349068a90,91,cricetomys gambianus,2014-07-28 21:23:02,2014-07-28
14066,96dc59e6-21bc-11ea-a13a-137349068a90,333,96dc59e6-21bc-11ea-a13a-137349068a90.jpg,2014-07-28 21:23:02.000,3,96dc5b4e-21bc-11ea-a13a-137349068a90,91,cricetomys gambianus,2014-07-28 21:23:02,2014-07-28
