,image_id,location,filename,datetime,frame_num,seq_id,category_id,category_name,datetime_obj,date
144,9694637a-21bc-11ea-a13a-137349068a90,123,9694637a-21bc-11ea-a13a-137349068a90.jpg,2013-08-10 12:26:00.000,1,96b12bfe-21bc-11ea-a13a-137349068a90,320,cercopithecus mitis,2013-08-10 12:26:00,2013-08-10
145,876d0c30-21bc-11ea-a13a-137349068a90,123,876d0c30-21bc-11ea-a13a-137349068a90.jpg,2013-08-10 12:26:01.000,2,96b12bfe-21bc-11ea-a13a-137349068a90,320,cercopithecus mitis,2013-08-10 12:26:01,2013-08-10
146,96b12a64-21bc-11ea-a13a-137349068a90,123,96b12a64-21bc-11ea-a13a-137349068a90.jpg,2013-08-10 12:26:01.000,3,96b12bfe-21bc-11ea-a13a-137349068a90,320,cercopithecus mitis,2013-08-10 12:26:01,2013-08-10
1194,9081b7da-21bc-11ea-a13a-137349068a90,385,9081b7da-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:03.000,1,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:03,2014-08-06
1195,867e9104-21bc-11ea-a13a-137349068a90,385,867e9104-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:03.000,2,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:03,2014-08-06
1196,882828d0-21bc-11ea-a13a-137349068a90,385,882828d0-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:03.000,3,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:03,2014-08-06
1197,88d0844e-21bc-11ea-a13a-137349068a90,385,88d0844e-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:03.000,4,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:03,2014-08-06
1198,8d8f9dbc-21bc-11ea-a13a-137349068a90,385,8d8f9dbc-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:03.000,5,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:03,2014-08-06
1199,906b60a2-21bc-11ea-a13a-137349068a90,385,906b60a2-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:03.000,6,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:03,2014-08-06
1200,8763b306-21bc-11ea-a13a-137349068a90,385,8763b306-21bc-11ea-a13a-137349068a90.jpg,2014-08-06 19:07:04.000,7,3020d492-7d42-11eb-8fb5-0242ac1c0002,317,cephalophus nigrifrons,2014-08-06 19:07:04,2014-08-06
